74
PID : COMMAND
1 : /usr/lib/systemd/systemd
2 : [kthreadd]
3 : [kworker/0:0]
4 : [kworker/0:0H]
5 : [kworker/u8:0]
6 : [ksoftirqd/0]
7 : [migration/0]
8 : [rcu_bh]
9 : [rcu_sched]
10 : [lru-add-drain]
11 : [watchdog/0]
12 : [watchdog/1]
13 : [migration/1]
14 : [ksoftirqd/1]
16 : [kworker/1:0H]
18 : [watchdog/2]
19 : [migration/2]
20 : [ksoftirqd/2]
22 : [kworker/2:0H]
23 : [watchdog/3]
24 : [migration/3]
25 : [ksoftirqd/3]
27 : [kworker/3:0H]
29 : [kdevtmpfs]
30 : [netns]
31 : [khungtaskd]
32 : [writeback]
33 : [kintegrityd]
34 : [bioset]
35 : [bioset]
36 : [bioset]
37 : [kblockd]
38 : [md]
39 : [edac-poller]
40 : [watchdogd]
45 : [kswapd0]
46 : [ksmd]
47 : [khugepaged]
48 : [crypto]
56 : [kthrotld]
58 : [kmpath_rdacd]
59 : [kaluad]
60 : [kworker/2:1]
62 : [kpsmoused]
64 : [ipv6_addrconf]
65 : [kworker/1:1]
78 : [deferwq]
114 : [kauditd]
288 : [kworker/0:2]
303 : [ata_sff]
304 : [scsi_eh_0]
305 : [scsi_tmf_0]
307 : [scsi_eh_1]
310 : [scsi_tmf_1]
315 : [scsi_eh_2]
316 : [scsi_tmf_2]
317 : [irq/18-vmwgfx]
318 : [ttm_swap]
328 : [kworker/0:1H]
393 : [kdmflush]
394 : [bioset]
403 : [kdmflush]
404 : [bioset]
419 : [bioset]
420 : [xfsalloc]
421 : [xfs_mru_cache]
422 : [xfs-buf/dm-0]
423 : [xfs-data/dm-0]
424 : [xfs-conv/dm-0]
425 : [xfs-cil/dm-0]
426 : [xfs-reclaim/dm-]
427 : [xfs-log/dm-0]
428 : [xfs-eofblocks/d]
429 : [xfsaild/dm-0]
430 : [kworker/3:1H]
515 : /usr/lib/systemd/systemd-journald
539 : /usr/sbin/lvmetad
558 : /usr/lib/systemd/systemd-udevd
645 : [kworker/1:1H]
658 : [xfs-buf/sda1]
659 : [xfs-data/sda1]
660 : [xfs-conv/sda1]
661 : [xfs-cil/sda1]
662 : [xfs-reclaim/sda]
663 : [xfs-log/sda1]
664 : [xfs-eofblocks/s]
665 : [xfsaild/sda1]
703 : /sbin/auditd
705 : /sbin/audispd
707 : /usr/sbin/sedispatch
709 : [rpciod]
710 : [xprtiod]
732 : /usr/sbin/ModemManager
